permco,year,quarter_num,dlyret,dlyvol,dlycap
7,2014,1,-0.0005180327868852458,11629959.918032788,474569581.57065576
7,2014,2,0.0032416507936507935,20454619.07936508,513136099.3980952
7,2014,3,0.001419453125,54749878.515625,587228795.6317188
7,2014,4,0.0015784375,50920761.78125,637961642.8857813
7,2015,1,0.002179360655737705,58730109.27868853,703505511.7331147
7,2015,2,0.00025563492063492054,44926562.23809524,737622595.7195238
7,2015,3,-0.0017078593750000002,60579756.265625,668980166.4703125
7,2015,4,-0.0005433906250000001,43597977.15625,638316370.2320312
7,2016,1,0.0008382459016393443,46368210.0,551962915.6096721
7,2016,2,-0.0018433125,39937799.90625,543854165.3909374
7,2016,3,0.0028012031250000003,35756414.734375,570517534.3510938
7,2016,4,0.0005140317460317461,32127675.53968254,605462782.6663493
7,2017,1,0.0035945483870967743,27457601.06451613,691199265.6225806
7,2017,2,0.00017139682539682544,27217937.365079366,770661867.1522222
7,2017,3,0.0012087301587301589,28009019.698412698,801526003.2304761
7,2017,4,0.0016037301587301584,25998382.666666668,856611104.369365
7,2018,1,6.69016393442626e-05,37836078.60655738,873790914.9862295
7,2018,2,0.00168546875,28360144.53125,892443199.9626563
7,2018,3,0.0032954761904761903,28131649.492063493,1006312388.0520635
7,2018,4,-0.0053008253968253975,42071785.34920635,920754251.8084127
7,2019,1,0.003334704918032787,32007751.655737706,800445569.0911475
7,2019,2,0.0008447619047619048,27976559.65079365,901530756.0071428
7,2019,3,0.0021319374999999997,26634420.046875,945032767.42875
7,2019,4,0.004350609375,26106826.84375,1142581354.3982813
7,2020,1,-0.001417951612903226,49295770.548387095,1286944155.3364515
7,2020,2,0.0060223333333333335,36917737.87301587,1342133141.5587301
7,2020,3,0.0041558125,90943012.734375,1865771893.0929687
7,2020,4,0.002385859375,114594686.703125,2042621541.5253124
7,2021,1,-0.0011170655737704918,110258366.60655738,2154749976.5606556
7,2021,2,0.0019315714285714285,82641205.28571428,2161046511.4868255
7,2021,3,0.000616453125,80883843.359375,2433061896.8571877
7,2021,4,0.0036880312500000003,89030761.984375,2592241904.8173437
7,2022,1,-7.188709677419347e-05,95198617.79032259,2743391885.7958064
7,2022,2,-0.0035901290322580643,94371605.40322581,2450619733.7203226
7,2022,3,0.00037339062499999975,78764437.796875,2521055178.8584375
7,2022,4,-0.0006383809523809527,83576658.34920634,2274029319.037619
7,2023,1,0.00399133870967742,68928242.08064516,2334696903.9259677
7,2023,2,0.002709661290322581,57107087.20967742,2740294446.873387
7,2023,3,-0.0018688253968253967,57986170.06349207,2867381411.837619
7,2023,4,0.0019323968253968254,52628745.28571428,2871278998.0938096
7,2024,1,-0.0017889016393442623,61307284.73770492,2808236584.915574
7,2024,2,0.0034332857142857142,67306369.31746031,2859347194.955556
7,2024,3,0.0017039062500000001,54230081.6875,3395569493.6025
7,2024,4,0.0012060781250000001,43410067.3125,3561595524.1142187
90,2014,1,-1.0573770491803274e-05,4143673.049180328,95203872.71442623
90,2014,2,0.0009331111111111112,3340570.492063492,95454163.38333333
90,2014,3,-0.00117728125,3702719.265625,94591986.66359375
90,2014,4,0.0010795,4135474.609375,93103622.59828125
90,2015,1,-0.002632081967213115,8023350.049180328,85186576.19344263
90,2015,2,2.6904761904761994e-05,6016997.650793651,80583831.99619047
90,2015,3,-0.00062865625,5991996.96875,77405117.684375
90,2015,4,-0.000861875,5520555.984375,72043089.96234375
90,2016,1,-0.0017526393442622952,8637464.37704918,56527899.56655738
90,2016,2,9.554687500000004e-05,4976168.609375,60389441.715625
90,2016,3,0.0008692187499999999,4112741.671875,59856302.57671875
90,2016,4,0.002510809523809524,4630939.952380952,63535300.492380954
90,2017,1,0.0011625806451612904,4329695.0,71123748.97612903
90,2017,2,0.0011123333333333337,3516818.9365079366,70856856.62539682
90,2017,3,0.0012164761904761903,3221782.0,76224625.76888888
90,2017,4,0.0015701111111111109,3226907.761904762,83159208.44571428
90,2018,1,-0.000819344262295082,4077187.0655737706,83812442.1837705
90,2018,2,0.0009288125000000002,3601524.0625,84536720.22578125
90,2018,3,0.0014203333333333333,2993689.6507936507,89530368.98126984
90,2018,4,-0.0015334285714285714,4078743.5396825396,89630604.80095237
90,2019,1,0.0023602622950819672,3575210.2622950817,89089831.05016394
90,2019,2,0.002035936507936508,3158232.9523809524,98215132.40222223
90,2019,3,-0.000539203125,3510563.578125,101967072.99671875
90,2019,4,0.0009149218749999999,2845041.09375,98251583.92875
90,2020,1,-0.004365161290322581,6011999.596774193,94518256.40967742
90,2020,2,0.0026979682539682542,6807562.80952381,74136360.43603174
90,2020,3,0.0010446875,4130583.734375,79202176.00515625
90,2020,4,0.0034776406250000003,4076099.046875,89176387.77546875
90,2021,1,0.002874639344262295,3796724.6393442624,106398689.85262296
90,2021,2,0.002562222222222222,3014732.238095238,125819622.05936508
90,2021,3,0.00037403125,3754231.46875,133298716.0915625
90,2021,4,-0.000116703125,3714200.640625,133175868.53484374
90,2022,1,0.0025356451612903222,4448398.112903226,138807342.0996774
90,2022,2,-0.004419112903225807,3411247.435483871,124625617.99612904
90,2022,3,-0.00025981249999999974,3120523.484375,113627618.50125
90,2022,4,0.0017023968253968257,3000840.1428571427,110832278.6468254
90,2023,1,0.0020744999999999995,3683050.629032258,123762030.80258065
90,2023,2,0.0010553548387096773,3069427.0,119963784.43274194
90,2023,3,-0.0023343809523809524,2777568.9206349207,120812405.98238096
90,2023,4,0.0037877142857142857,3122147.301587302,117687119.91968253
90,2024,1,0.003339918032786885,3159900.0,150736082.82426232
90,2024,2,0.0004062857142857145,2958870.365079365,166927736.10746032
90,2024,3,0.00266353125,2728616.03125,177686750.4359375
90,2024,4,0.0015849843750000002,2540710.96875,202995630.810625
92,2014,1,-0.0008071639344262296,1990562.8360655739,29385132.43229508
92,2014,2,-6.285714285714289e-05,1772582.5873015872,28346472.2484127
92,2014,3,-0.0009106874999999999,1964074.78125,27594775.4334375
92,2014,4,0.0008883593749999999,2268908.734375,26659000.55296875
92,2015,1,0.0009207704918032789,2107190.7540983604,27208730.84852459
92,2015,2,-0.00032139682539682543,1957582.1587301588,27552907.404444445
92,2015,3,-0.000852609375,2267679.625,26124880.890625
92,2015,4,0.000643515625,2238785.265625,26660893.20390625
92,2016,1,0.0010605573770491805,2466381.7540983604,25192424.715737708
92,2016,2,0.002238625,2241395.46875,28400779.16984375
92,2016,3,5.4328124999999974e-05,1693792.765625,29923111.62515625
92,2016,4,-0.0003725873015873016,1981611.8253968253,28767981.17
92,2017,1,0.0007711129032258066,2183388.2258064514,28736143.58564516
92,2017,2,0.00123168253968254,1831563.6825396826,29942148.496507935
92,2017,3,0.0008551904761904761,1542544.6984126985,31864903.466507934
92,2017,4,0.0012986825396825398,1517605.0317460317,33636780.076825395
92,2018,1,0.00016606557377049158,2853192.9672131147,34682246.273114756
92,2018,2,-0.00014635937500000003,3193639.703125,34872036.27453125
92,2018,3,0.0015491587301587303,2748574.0634920634,35250075.32936508
92,2018,4,-0.00028450793650793655,3783012.111111111,33972586.061904766
92,2019,1,0.001639672131147541,3347228.819672131,36398070.81868853
92,2019,2,0.0015737936507936507,3088395.634920635,38485360.734126985
92,2019,3,-0.0005681093750000001,3357407.609375,39183243.5075
92,2019,4,0.00029212499999999996,2758947.359375,39075080.6353125
92,2020,1,-0.005203354838709678,4667213.612903226,33396410.524516128
