Feature,Importance
value,0.7711338307174811
value_roll4_mean,0.16190854217583361
value_roll4_std,0.009472806952352896
value_lag1,0.007345873499061229
value_change_qoq,0.007239623602007458
dlyret,0.006939845779495062
dlyret_lag1,0.0066530483218758
dlyvol,0.006142356410769062
dlycap,0.00593012047570031
dlyret_change_qoq,0.005882466016007201
dlyvol_lag1,0.005754877401875082
dlycap_lag1,0.005596608647541247
